Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,เฟส 2 Suite 3 / Studio 3 ห้อง ย้ายมาจาก เฟส1 เมื่อวันที่ 15/3/2569,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7%ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1001,Suite,148,116,166,786,18,670,,,,,540,37.800000000000004,6700,469.00000000000006,13000,,20746.8,M Estate 1983859190,,,,,0,,0,,0,,0,,,,,,,,,,,,26000,2569-03-15 00:00:00,6 เดือน,,,
E,2,1002,Suite,5,257,14,668,9,411,,,,,270,18.900000000000002,4110,287.70000000000005,13000,,17686.6,,,,,,0,,,,0,,0,,,,,,,,,,,,26000,2569-03-15 00:00:00,6 เดือน,,,
E,3,1006,Suite IN 15/5/2569,0,0,0,0,0,0,เงินสด 15/5/69,M Estate 1983859190,13000,13000,0,0,0,0,0,,0,,,,,,0,,,,0,,0,,,,,,,,,,,,26000,2569-05-15 00:00:00,6 เดือน,,,
E,4,1013,Suite IN 19/5/2569,0,0,0,0,0,0,เงินสด 19/5/69,M Estate 1983859190,13000,13000,0,0,0,0,0,,0,,,,,,0,,,,0,,0,,,,,,,,,,,,26000,2569-03-19 00:00:00,6 เดือน,,,
E,5,1015,Suite IN 19/5/2569,0,0,0,0,0,0,เงินสด 19/5/69,M Estate 1983859190,13000,13000,0,0,0,0,0,,0,,,,,,0,,,,0,,0,,,,,,,,,,,,26000,2569-03-19 00:00:00,6 เดือน,,,
C,6,3040,Studio,4,36,10,532,6,496,,,,,180,12.600000000000001,4960,347.20000000000005,6500,,11999.8,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-24 00:00:00,6 เดือน,,,
W,7,4062,Studio,0,0,0,0,0,0,12/5/69,M Estate 1983859190,6500,6500,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-05-03 00:00:00,6 เดือน,,,
W,8,4125,Studio,27,1106,33,1501,6,395,,,,,180,12.600000000000001,3950,276.5,6500,,10919.1,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-24 00:00:00,6 เดือน,,,
N,9,5006,Studio,10,116,14,414,4,298,,,,,120,8.4,2980,208.60000000000002,6500,,9817,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,6 เดือน,,,
N,10,5007,Studio,15,94,21,496,6,402,,,,,180,12.600000000000001,4020,281.40000000000003,6500,,10994,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,6 เดือน,,,
N,11,5008,Studio,9,90,16,475,7,385,,,,,210,14.700000000000001,3850,269.5,6500,,10844.2,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,6 เดือน,,,
N,12,5009,Studio,8,70,15,367,7,297,,,,,210,14.700000000000001,2970,207.9,6500,,9902.6,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,6 เดือน,,,
N,13,5010,Studio,9,136,22,558,13,422,,,,,390,27.300000000000004,4220,295.40000000000003,6500,,11432.7,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,6 เดือน,,,
